,iqr_x,duration_x,median_x,mad_x,max_x,mean_x,min_x,rms_x,std_x,iqr_y,duration_y,median_y,mad_y,max_y,mean_y,min_y,rms_y,std_y,iqr_z,duration_z,median_z,mad_z,max_z,mean_z,min_z,rms_z,std_z,iqr_m,duration_m,median_m,mad_m,max_m,mean_m,min_m,rms_m,std_m,user,label
66,0.3824999816715716,300.0,0.0199999995529651,0.1899999938905238,0.6599999666213989,-0.0063666665057341,-1.0099999904632568,0.3192496342803153,0.319186144037801,0.4824999868869781,300.0,0.0099999997764825,0.2499999944120645,0.9499999880790708,0.0352666653692722,-0.9799999594688416,0.3952981886340211,0.3937218818545268,0.4849999919533729,300.0,0.0299999993294477,0.2499999981373548,0.8899999856948853,0.0475999985262751,-0.7799999713897705,0.3548389219856931,0.3516317686106695,0.3320842225687556,300.0,0.5620052777497124,0.1675456560655055,1.1907560465024654,0.5673727040954317,0.0223606792751976,0.6197512787251206,0.2493589022450566,83,0.0
67,0.2699999883770942,300.0,-0.0849999971687793,0.134999994188547,0.6800000071525574,-0.1093999972504874,-1.1899999380111694,0.2861642820257596,0.2644269973147822,0.4999999925494194,300.0,0.1599999964237213,0.2499999962747096,1.2999999523162842,0.1592333295568823,-0.699999988079071,0.4051760835117512,0.3725753687620142,0.429999977350235,300.0,0.3849999904632568,0.1850000023841858,1.6100000143051147,0.4671666562743485,-0.3299999833106994,0.5769052380823572,0.3384892450171879,0.4077513345126917,300.0,0.5963636312728555,0.1978671846794332,1.873232489465216,0.6796534913505508,0.0360555119487363,0.7608398705930843,0.3419772512596534,83,0.0
68,0.5149999931454659,300.0,0.119999997317791,0.2299999967217445,0.7299999594688416,0.0433333331470688,-1.1299999952316284,0.3661948395296449,0.3636218952930468,0.4200000017881393,300.0,0.1099999994039535,0.209999993443489,1.1200000047683716,0.0395333323068916,-1.1899999380111694,0.4022196661368974,0.4002721267637681,0.5849999785423278,300.0,-0.0399999991059303,0.2899999991059303,1.2400000095367432,0.0303999995626509,-0.8100000023841858,0.4248552584909804,0.4237662453452712,0.3975261590903491,300.0,0.5459852544914057,0.1715431133654691,1.4280406261536729,0.6233100382642979,0.1272792186467255,0.690203818442681,0.2964218399373045,83,0.0
69,0.5174999795854092,300.0,0.0049999998882412,0.2649999810382725,0.6599999666213989,-0.0442999992830057,-1.149999976158142,0.3787721307528245,0.3761726160934107,0.3100000023841857,300.0,-0.0049999998882412,0.15499999653548,0.8899999856948853,0.0025333335623145,-0.7299999594688416,0.2969264701985926,0.2969156629847232,0.6624999940395355,300.0,0.0,0.3299999833106994,1.100000023841858,-0.0037666664334634,-0.7599999904632568,0.4251278136908509,0.4251111268804216,0.3107037049156937,300.0,0.5435991003200358,0.1562876284281855,1.4193660408251274,0.5805572855897122,0.0877496419125637,0.6421583244910817,0.2744458996995558,83,0.0
70,0.5199999809265136,300.0,0.0149999996647238,0.2649999996647238,0.6499999761581421,-0.0067666666954755,-1.1100000143051147,0.3542621367034947,0.354197506659149,0.3799999952316284,300.0,0.0299999993294477,0.189999995753169,1.0099999904632568,0.042433332024763,-1.1200000047683716,0.3163368384647236,0.3134779221941042,0.8324999585747719,300.0,0.0149999996647238,0.4149999776855111,1.100000023841858,0.0155666672065854,-1.1999999284744265,0.5413387584203829,0.541114895600002,0.4375261232809511,300.0,0.5947218157668895,0.205491996891309,1.5739758393858132,0.653454330010955,0.0994987398018657,0.7201515869868677,0.3026809323853054,83,0.0
71,0.4824999906122685,300.0,0.0499999970197677,0.2299999967217444,0.5899999737739563,0.0015999996475875,-1.2300000190734863,0.3290248139403833,0.3290209236350047,0.4524999782443046,300.0,-0.0249999994412064,0.2349999910220503,0.7099999785423279,-0.0357333327022691,-0.9699999690055848,0.3223817519600696,0.3203952604687416,0.6324999928474426,300.0,0.0149999996647238,0.3149999817833303,1.1200000047683716,-0.008499998661379,-1.0399999618530271,0.4685577028015271,0.4684805981867347,0.3034218319042126,300.0,0.5766704527155272,0.1563730591729959,1.5843610427512549,0.6009771643687395,0.0806225756809304,0.6570644131590083,0.265631494644933,83,0.0
72,0.4924999959766865,300.0,0.0199999995529651,0.2499999850988388,1.4299999475479126,0.0353333331396182,-0.8899999856948853,0.4219431152108079,0.4204611135920252,0.4624999761581421,300.0,0.0700000002980232,0.2199999913573264,1.46999990940094,-0.0092999998045464,-2.0799999237060547,0.5499833189484948,0.5499046836727591,0.8699999451637268,300.0,0.034999999217689,0.4050000039860605,1.4099999666213991,0.1068333298712968,-1.2300000190734863,0.5778381996417642,0.5678764166558126,0.634215358465452,300.0,0.7068235082171396,0.2749670693152001,2.311471337509765,0.7992534348225923,0.1135781661812999,0.9024492387722636,0.4190567688093427,83,0.0
73,0.4624999761581421,300.0,0.0,0.2199999988079071,0.7699999809265137,-0.0641999975964427,-1.25,0.361327172701789,0.3555779605674193,0.4824999906122684,300.0,0.119999997317791,0.2499999925494194,1.2300000190734863,0.1310666640785833,-1.1299999952316284,0.4131980870451372,0.3918599095404793,0.5024999966844915,300.0,0.25,0.2399999797344207,0.9199999570846558,0.1668999959093829,-1.0900000333786009,0.4207909121695135,0.3862763041268507,0.3381824880320715,300.0,0.6167657302353793,0.1754042794758578,1.4166509537816523,0.6367059286693344,0.0768114574592863,0.6916321107603959,0.2701120823513842,83,0.0
74,0.4349999912083148,300.0,0.0049999998882412,0.2149999989196658,0.5,-0.0465999987845619,-1.5099999904632568,0.3287095910719257,0.3253896669778428,0.5474999882280827,300.0,0.119999997317791,0.2799999788403511,1.919999957084656,0.0803333307864765,-1.2899999618530271,0.5011180708818844,0.4946371164087182,0.5699999928474426,300.0,0.1400000005960464,0.2799999862909317,1.4199999570846558,0.1292333300846318,-1.0099999904632568,0.4819145726420527,0.4642632892228383,0.3909655896105954,300.0,0.5863818452549829,0.1751049922603468,1.9235643568652503,0.6816735942460804,0.0458257559252728,0.7690324905696938,0.3559944977937949,83,0.0
75,0.8700000047683716,300.0,-0.209999993443489,0.4449999779462815,2.3199999332427983,-0.1986999936588108,-2.2699999809265137,0.7336554414779772,0.7062355268111582,1.524999976158142,300.0,0.0249999994412064,0.754999971948564,3.7699999809265137,0.1630666603706777,-2.5199999809265137,1.231013107475383,1.2201649622291868,1.4725000262260437,300.0,0.3299999982118606,0.7449999898672104,3.5699999332427983,0.340166661851108,-3.68999981880188,1.3616179988563837,1.3184423449566296,1.3134605422918169,300.0,1.5078031559264478,0.6215410251249718,4.202582406774072,1.725679034097803,0.2776688643505823,1.9767769607105672,0.9641986432636076,83,0.0
