,feature,correlation,%
0,iqr_x,-0.02454455852614647,2.454455852614647
1,duration_x,-0.024133864763037447,2.413386476303745
2,median_x,-0.07135665500382003,7.135665500382003
3,mad_x,-0.024830713027355462,2.483071302735546
4,max_x,-0.04401168798175239,4.401168798175239
5,mean_x,-0.0746249195762403,7.462491957624031
6,min_x,-0.1040657190117936,10.40657190117936
7,rms_x,-0.05558740026734692,5.558740026734692
8,std_x,0.010665386854168622,1.0665386854168621
9,iqr_y,-0.05794458352681136,5.7944583526811355
10,duration_y,-0.024133864763037447,2.413386476303745
11,median_y,0.1710040538007159,17.10040538007159
12,mad_y,-0.05380750477152095,5.380750477152095
13,max_y,0.11197531354139144,11.197531354139144
14,mean_y,0.16889819130760936,16.889819130760937
15,min_y,0.12304645310736886,12.304645310736886
16,rms_y,0.2098617851422891,20.98617851422891
17,std_y,-0.051225134932685955,5.122513493268595
18,iqr_z,-0.013531128607912443,1.3531128607912442
19,duration_z,-0.024133864763037447,2.413386476303745
20,median_z,-0.08251821270023603,8.251821270023603
21,mad_z,-0.017726800126715868,1.7726800126715867
22,max_z,-0.11110845364008066,11.110845364008066
23,mean_z,-0.07499138593865522,7.4991385938655215
24,min_z,-0.017910760978691057,1.7910760978691056
25,rms_z,-0.13238143169251315,13.238143169251316
26,std_z,-0.02263585617630267,2.263585617630267
27,iqr_m,-0.03409169309009466,3.409169309009466
28,duration_m,-0.024133864763037447,2.413386476303745
29,median_m,0.028650967497134187,2.8650967497134188
30,mad_m,-0.04217126186002454,4.217126186002454
31,max_m,-0.011635363437938437,1.1635363437938437
32,mean_m,0.058194678073156175,5.819467807315617
33,min_m,0.07455730355512893,7.455730355512894
34,rms_m,0.02806145378783046,2.806145378783046
35,std_m,-0.028959659305366026,2.895965930536603
